7.401013402323599610e-01,9.590643789183729284e-01,5.637424462755878940e-01,2.170190512408631811e-02,2.415439062020958705e-01,3.814199634165793551e-01,8.978276938100235860e-01,1.064840332700308645e-01,7.834399626547561279e-01,4.487268763242798775e-01
1.932626369645331632e-01,4.943997018024093304e-01,8.120610777459600360e-01,1.250386383972131865e-01,6.575322601799040712e-01,7.916703520388662652e-01,1.542258285165700737e-01,4.592932951069801373e-01,3.630219876606427531e-01,3.928482802164311449e-01
1.054586259590182262e-01,2.537584635483770557e-01,1.522885604901689227e-01,6.801925540321167585e-01,2.352351447268562490e-01,1.815870418826104338e-02,5.844468149834021187e-01,2.035041211367494274e-01,3.957725529216651328e-01,1.290548080908731077e-01
7.960763764131912890e-01,4.099575623225982790e-01,4.647056176928709981e-01,6.655063830847626205e-01,5.029883342040659677e-01,4.874977351283124039e-01,1.256624531137112699e-01,7.184863565357946236e-01,7.962211446711957574e-01,8.325534162468762878e-01
4.277143250468030677e-01,6.816521836923126187e-01,9.536304727303178685e-01,7.845007431263955056e-01,3.326877960136261914e-01,9.696949681617094141e-01,2.293221930755873217e-04,6.247591482829809584e-01,7.702997181930537618e-01,8.922351475277480182e-01
7.411945451721476674e-01,8.404668032946238654e-02,9.146126762684392286e-01,5.808038278472799076e-01,2.916315717185661294e-01,4.863010569079727619e-01,8.404624655530296140e-01,8.206672159538695999e-01,2.454316193656546075e-01,2.065676356060742735e-01
2.421864569491744001e-01,1.638730594343724700e-01,1.243143753750370895e-01,5.628852033766587049e-01,5.900171919389046726e-01,9.183962881394337474e-01,9.259250868325061834e-01,2.202096375868972666e-01,7.608697825510593038e-01,4.579484052734483779e-01
2.669206514889271853e-01,7.258044072019771420e-01,7.446270919039030822e-01,6.716594540336247032e-01,8.885983863381536896e-01,7.916166832293177746e-01,4.597986032439559390e-01,6.113746386281374567e-01,8.123113810723059380e-02,2.620343149243529179e-01
1.946908731561309835e-01,7.868938101159722587e-01,6.301370598197553186e-02,8.266239693230083008e-01,9.239023893032327628e-03,3.342848539616382064e-01,5.918818063583732858e-01,3.080163821725597773e-01,1.044620491794434614e-03,1.011701273005835011e-01
2.915603040010457114e-01,2.231277739955120909e-01,5.886544162977392913e-01,1.947250350208489245e-01,5.254843845267261893e-01,8.411929159248620058e-01,5.902177413287794661e-01,7.213926171135738308e-01,1.129708817652740338e-01,9.290250526892074312e-01
